pattern,label,quantity,nominal_board_mm,source_ids,replaces,dxf,cut_bbox_mm,area_mm2,notes,max_edge_strain_percent
FW01,left_inner_wing,2,5,['A52'],['F01'],FW01_left_inner_wing.dxf,"[443.05563, 455.62468]",167058.9714844628,One folded skin. Keep outer paper continuous; dry-form around original ribs and spars. ROOT/TIP/LEADING EDGE labels register the original 3D surface and are not cuts. Cut ROOT and TIP separately on 600 x 400 mm beds; join the straight edges before forming.,
FW02,right_inner_wing,2,5,['A49'],['F02'],FW02_right_inner_wing.dxf,"[443.05481, 455.62433]",167058.84805733734,One folded skin. Keep outer paper continuous; dry-form around original ribs and spars. ROOT/TIP/LEADING EDGE labels register the original 3D surface and are not cuts. Cut ROOT and TIP separately on 600 x 400 mm beds; join the straight edges before forming.,
FW03,right_outer_wing,1,5,['A38'],['F03'],FW03_right_outer_wing.dxf,"[237.07398, 514.67685]",91701.70903098777,One folded skin. Keep outer paper continuous; dry-form around original ribs and spars. ROOT/TIP/LEADING EDGE labels register the original 3D surface and are not cuts.,
FW04,left_outer_wing,1,5,['A27'],['F04'],FW04_left_outer_wing.dxf,"[237.07398, 514.67566]",91701.72786860388,One folded skin. Keep outer paper continuous; dry-form around original ribs and spars. ROOT/TIP/LEADING EDGE labels register the original 3D surface and are not cuts.,
FW05,right_fixed_tail,1,5,['A57'],"['F05', 'F07']",FW05_right_fixed_tail.dxf,"[192.8899889145026, 360.3790901105466]",51897.9239956293,Single full tail skin including root collar. No separate collar strip.,0.17362791394773813
FW06,left_fixed_tail,1,5,['A22'],"['F06', 'F08']",FW06_left_fixed_tail.dxf,"[229.49472966254697, 368.33071610834344]",51897.799036495,Single full tail skin including root collar. No separate collar strip.,0.1736753066119867
FW07,lower_body_wrap,1,5,"['A56', 'A17']","['F13', 'F09', 'F14', 'F10', 'F15', 'F16', 'F12', 'F18', 'F11', 'F17']",FW07_lower_body_wrap.dxf,"[157.42382239683042, 573.65]",90306.17571794176,One continuous wrap for front and middle lower body. Longitudinal marks locate gentle changes in curvature; NOT seams or laser cuts. Cross-line at205mm is a station mark only. Remove inner paper and precurve; preserve outer paper.,0
FW08,aft_lower_body,1,5,['A42'],"['F19', 'F20', 'F33', 'F21', 'F22']",FW08_aft_lower_body.dxf,"[157.3584902280108, 153.32042637786793]",23441.431309836073,One formed wrap; inner relief at marked transitions. Maximum joining registration mismatch 0.004mm; dry-fit and trim perimeter before glue.,
FW09,front_upper_cover,1,5,['A08'],"['F25', 'F26']",FW09_front_upper_cover.dxf,"[156.80822940601126, 130.00138993061893]",20384.64567091041,One formed wrap; inner relief at marked transitions. Maximum joining registration mismatch 0.001mm; dry-fit and trim perimeter before glue.,
FW10,rear_upper_cover,1,5,['A15'],"['F23', 'F24']",FW10_rear_upper_cover.dxf,"[155.9851097851031, 158.94707841873375]",23735.456017216053,One formed wrap; inner relief at marked transitions. Maximum joining registration mismatch 0.037mm; dry-fit and trim perimeter before glue.,
FW11,tail_underside,1,5,['A20'],"['F27', 'F28', 'F29', 'F30']",FW11_tail_underside.dxf,"[153.34808295499772, 224.09549953892068]",27187.11156897397,"One compound-curved trial blank. Peel inner paper, gently preform and trim at frame. Full development is approximate: max1.315% local edge strain,99th percentile0.467%. If it buckles, make short overlapping darts from perimeter while keeping one connected blank; tape outer seam. Trial in paper first; do not force onto frame.",1.3145643372712845
FW12,right_moving_tail,2,5,['A41'],['F31'],FW12_right_moving_tail.dxf,"[45.0, 275.03561]",12376.60245,Two 5 mm layers make one 10 mm control. Cut outline includes 5 mm trim allowance; laminate then carve rounded leading edge and trim to reference. Tape hinge at original axis.,
FW13,left_moving_tail,2,5,['A60'],['F32'],FW13_left_moving_tail.dxf,"[45.0, 275.03561]",12376.60245,Two 5 mm layers make one 10 mm control. Cut outline includes 5 mm trim allowance; laminate then carve rounded leading edge and trim to reference. Tape hinge at original axis.,
