id,name,route,quantity,material,file,note
A01,Rear joiner support,Plywood cut,2,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A01.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A04,Aft fuselage former,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A04.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A05,Front wing spar,Plywood cut,2,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A05.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A07,Rear wing spar,Plywood cut,2,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A07.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A10,Outer aileron end plate,Plywood cut,2,3.000 mm aircraft plywood,01_Plywood/Individual_DXF/3.000mm/A10.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A13,Forward longitudinal former,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A13.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A16,Middle fuselage former,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A16.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A18,Tail bulkhead,Plywood cut,1,2.500 mm aircraft plywood,01_Plywood/Individual_DXF/2.500mm/A18.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A24,Middle wing rib,Plywood cut,2,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A24.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A25,Front gear bulkhead,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A25.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A26,Motor mount,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A26.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A34,Forward fuselage former,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A34.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A35,Inner wing rib,Plywood cut,2,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A35.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A43,Aft longitudinal former,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A43.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A44,Outer wing rib,Plywood cut,2,4.990 mm aircraft plywood,01_Plywood/Individual_DXF/4.990mm/A44.dxf,Cut two handed ribs; finish nominal 5 mm stock to the 4.990 mm geometry. MG90S ear slots included.
A47,Main gear base,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A47.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A48,Rear gear bulkhead,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A48.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A53,Inner aileron end plate,Plywood cut,2,3.000 mm aircraft plywood,01_Plywood/Individual_DXF/3.000mm/A53.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A54,Central forward former,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A54.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A62F,Front nose spine segment,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A62F.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A62R,Rear spine segment,Plywood cut,1,5.000 mm aircraft plywood,01_Plywood/Individual_DXF/5.000mm/A62R.dxf,Rear end is flush with the motor mounting face at Y582.65; omit the former aft tab. Nose shaft gap is 4.4 mm with A62F.
A63,Nose cheek doublers (A63/A64),Plywood cut,2,2.500 mm aircraft plywood,01_Plywood/Individual_DXF/2.500mm/A63.dxf,Cut two from this profile; install as A63 left cheek and A64 right cheek. Do not cut an additional pair.
G03,Main gear mounting doubler,Plywood cut,1,3.000 mm aircraft plywood,01_Plywood/Individual_DXF/3.000mm/G03.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
H05B,Control horn backing plate,Plywood cut,4,2.500 mm aircraft plywood,01_Plywood/Individual_DXF/2.500mm/H05B.dxf,Four 25 x20 mm backing blanks. Drill to the purchased horn template after checking the hinge axis; use crush-resistant spacers through foam or hollow printed controls.
I01,Adjustable battery tray,Plywood cut,1,3.000 mm aircraft plywood,01_Plywood/Individual_DXF/3.000mm/I01.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A11,Left aileron,3D print,1,LW-PLA preferred; PLA+ mass must be budgeted,03_Print/Aircraft_STL/A11_Left_aileron.stl,"Millimetres, no scaling; see print settings and actual dimensions"
A21,Right aileron,3D print,1,LW-PLA preferred; PLA+ mass must be budgeted,03_Print/Aircraft_STL/A21_Right_aileron.stl,"Millimetres, no scaling; see print settings and actual dimensions"
A23,Left aileron hinge,3D print,1,LW-PLA preferred; PLA+ mass must be budgeted,03_Print/Aircraft_STL/A23_Left_aileron_hinge.stl,"Millimetres, no scaling; see print settings and actual dimensions"
A36,Right aileron hinge,3D print,1,LW-PLA preferred; PLA+ mass must be budgeted,03_Print/Aircraft_STL/A36_Right_aileron_hinge.stl,"Millimetres, no scaling; see print settings and actual dimensions"
A45,Right wing root,3D print,1,PLA+ or PETG; functional coupon required,03_Print/Aircraft_STL/A45_Right_wing_root.stl,"Millimetres, no scaling; see print settings and actual dimensions"
A55,Left wing root,3D print,1,PLA+ or PETG; functional coupon required,03_Print/Aircraft_STL/A55_Left_wing_root.stl,"Millimetres, no scaling; see print settings and actual dimensions"
I04,FC Bridge,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I04_FC_Bridge.stl,Matek 30.5 mm hole grid. Use supplied grommets and 6 mm M3 nylon spacers; four M2 foot bolts. Do not crush grommets. Final assembly fit must pass before release.
I05-1,Nose Cover Column,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I05-1_Nose_Cover_Column.stl,Shaped top fits the original hood interior. One long M2 through-bolt per column with washers and locking nut below A13. Keep columns secured to tray for repeatable cover removal.
I05-2,Nose Cover Column,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I05-2_Nose_Cover_Column.stl,Shaped top fits the original hood interior. One long M2 through-bolt per column with washers and locking nut below A13. Keep columns secured to tray for repeatable cover removal.
I05-3,Nose Cover Column,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I05-3_Nose_Cover_Column.stl,Shaped top fits the original hood interior. One long M2 through-bolt per column with washers and locking nut below A13. Keep columns secured to tray for repeatable cover removal.
I05-4,Nose Cover Column,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I05-4_Nose_Cover_Column.stl,Shaped top fits the original hood interior. One long M2 through-bolt per column with washers and locking nut below A13. Keep columns secured to tray for repeatable cover removal.
I07,FC Service Hatch,3D print,1,original shell print material,03_Print/Aircraft_STL/I07_FC_Service_Hatch.stl,"0.3 mm perimeter gap. Fit internal support tabs at the ends and retain with two replaceable 20 mm reinforced-tape strips across the end seams. Tape hinge/retention is a specified service method, not a glue-shut cover."
I08-1,Hatch Support Tab,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I08-1_Hatch_Support_Tab.stl,Bond the half outside the opening to the fairing interior; leave the projecting half free to support the removable lid. Do not bond the lid shut.
I08-2,Hatch Support Tab,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I08-2_Hatch_Support_Tab.stl,Bond the half outside the opening to the fairing interior; leave the projecting half free to support the removable lid. Do not bond the lid shut.
I13,Airspeed Board Carrier,3D print,1,PETG / PLA+,03_Print/Aircraft_STL/I13_Airspeed_Board_Carrier.stl,"ASPD-4525 PCB 20 x20, two M2 screws on verified 15 mm spacing. Slotted stand-offs accommodate the hole-row offset. Ports forward, connector aft. Board clear of tray and nose cover."
A37,Nose gear mount,3D print,1,qualified PLA+ or PETG,03_Print/Aircraft_STL/A37_Nose_gear_mount.stl,"23.4 x13.0 mm body clearance, original ear seat retained; two slotted M2 through-bolts with washers/locking nuts. 4.2 mm nose-wire bearing bore. Verify actual servo ears and full horn sweep before closing."
A09,Nose steering bearing,3D print,1,qualified PLA+ or PETG,03_Print/Aircraft_STL/A09_Nose_steering_bearing.stl,"4.2 mm bore for 4 mm spring-wire shaft. Ream after coupon, preserve running clearance; do not force an undersize printed bore."
I02,Battery Corner Stop,3D print,2,qualified PETG / PLA+,03_Print/Aircraft_STL/I02_Battery_Corner_Stop.stl,"Two corner restraints replace the long side rails. Fit front stop with fingers aft; rotate rear stop 180 degrees. M2 bolts, wide washers and locking nuts in tray slots. Pad pouch contact; do not squeeze cells."
I17-1L,Battery Hanger,3D print,1,qualified PETG / PLA+,03_Print/Aircraft_STL/I17-1L_Battery_Hanger.stl,M2 foot bolt through A13 at X +/-40. M2 tray bolt at X +/-32 runs from tray underside through the hanger; use 35-37 mm finished length with washer and locking nut. Battery and stop clear the hanger inner face.
