id,check,status,measurement,date,tester
STOCK,Measure thickness/mass/kerf; trial a formed wing section with real cap/web/rod and deepest channel while preserving outer paper,NOT DONE,,,
PRINT,"Check actual machine envelope, tall-part adhesion, a15mm anchored bridge, support removal and representative horn/root fit samples",NOT DONE,,,
BONDS,Test real wood/carbon/print/foam adhesives and cured representative joints,NOT DONE,,,
ROOT,"Proof-test wing root in bending, torsion and withdrawal, including retention ties",NOT DONE,,,
FRAME,"Proof-test firewall, tail, battery restraint and landing-gear load paths",NOT DONE,,,
WHEELS,"Reuse supplied wheel/axle assemblies; record their offsets, owner-provided leg attachments and straight alignment",NOT DONE,,,
CONTROL,"Check four controls through full combined travel, load, articulation and neutral return",NOT DONE,,,
ACCESS,"Remove/refit wings, battery, N1/pitot and service covers with actual wiring",NOT DONE,,,
FOAM_FIT,Transfer two aft-edge FSU2 tray notches; dress local mating foam seams as described; preserve adjacent skin and wooden supports,NOT DONE,,,
POWER,"Check polarity, ESC BEC isolation, servo rail voltage and combined current",NOT DONE,,,
CONFIG,"Record firmware/parameters, orientation, sensor response and verified surface directions",NOT DONE,,,
FAILSAFE,Prop-off RC-loss and battery failsafe action/recovery and throttle-cut test,NOT DONE,,,
MASS_CG,Weigh full aircraft and measure CG at final battery position,NOT DONE,,,
PROPULSION,"Measure secured exact-prop current, thrust and temperature; inspect screw/adapter fit",NOT DONE,,,
GROUND,"Loaded10-degree prop clearance>=20mm, wheel alignment, slow roll then controlled taxi",NOT DONE,,,
FLIGHT,"Experienced pilot reviews measured CG, control authority, propulsion and field/abort plan",NOT DONE,,,
MOTOR_FIT,"TEST_MOTOR: actual hole circle, screw heads/driver, shaft or retainer clearance, thread engagement and free bell",NOT DONE,,,
FOAM_WRAP,"Trial 40 mm body-wrap coupon; outer-paper profile, gentle crease relief and cured bond; preserve all skin area",NOT DONE,,,
AILERON_INDEX,Trial forward-indexed arms with remeasured captive spokes; full measured travel without binding or buzzing,NOT DONE,,,
PITOT_FIT,"Trial external two-band grip, exposed ports, foam-only hose seam, cover removal, no leaks/kinks",NOT DONE,,,
PLY_LAPS,"Qualify paired keel/rail and staggered cap/web lap coupons using actual plywood, prepared faces, adhesive and full cure; then assembled load paths",NOT DONE,,,
FOAM_HORNS,"Check four bevelled foam controls, both flange bonds/backers, paper peel resistance and loaded neutral return",NOT DONE,,,
FTF_RELIEF,Inspect remaining fairing lips and remove supports without damage; fit raised tail servos without forcing cover,NOT DONE,,,
