id,name,quantity,thickness_mm,width_mm,height_mm,file,note
A01,Rear joiner support,2,5.0,43.399437042550225,15.316875413116001,01_Plywood/Individual_DXF/5.000mm/A01.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A04,Aft fuselage former,1,4.99999931850169,95.64791612051891,80.02650468542737,01_Plywood/Individual_DXF/5.000mm/A04.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A05,Front wing spar,2,5.000000000000058,439.9999998512281,16.54015060455986,01_Plywood/Individual_DXF/5.000mm/A05.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A07,Rear wing spar,2,4.9999999999941,750.0000001999921,13.194912031457482,01_Plywood/Individual_DXF/5.000mm/A07.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A10,Outer aileron end plate,2,2.9999999999991585,70.72051996105291,13.034474887994179,01_Plywood/Individual_DXF/3.000mm/A10.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A13,Forward longitudinal former,1,5,550.6602001041001,95.64444913701607,01_Plywood/Individual_DXF/5.000mm/A13.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A16,Middle fuselage former,1,5.000000000000028,95.64444913700416,87.89668028322471,01_Plywood/Individual_DXF/5.000mm/A16.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A18,Tail bulkhead,1,2.5,81.00000020000687,117.5903416758115,01_Plywood/Individual_DXF/2.500mm/A18.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A24,Middle wing rib,2,5.000000000000019,153.89141706760364,13.563817615730901,01_Plywood/Individual_DXF/5.000mm/A24.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A25,Front gear bulkhead,1,5.0,95.644448937014,25.000000000002117,01_Plywood/Individual_DXF/5.000mm/A25.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A26,Motor mount,1,5.0,47.545530101942816,39.999994824461325,01_Plywood/Individual_DXF/5.000mm/A26.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A34,Forward fuselage former,1,5.000000000100002,95.64444913700416,87.8966802832247,01_Plywood/Individual_DXF/5.000mm/A34.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A35,Inner wing rib,2,5.000000000000007,183.6631861107307,16.669154531382482,01_Plywood/Individual_DXF/5.000mm/A35.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A43,Aft longitudinal former,1,5,467.0000002079199,95.64444913701604,01_Plywood/Individual_DXF/5.000mm/A43.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A44,Outer wing rib,2,4.99,117.02558792631811,14.634178037616593,01_Plywood/Individual_DXF/4.990mm/A44.dxf,Cut two handed ribs; finish nominal 5 mm stock to the 4.990 mm geometry. MG90S ear slots included.
A47,Main gear base,1,5.0,72.744390953219,22.69999999999999,01_Plywood/Individual_DXF/5.000mm/A47.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A48,Rear gear bulkhead,1,5.0,95.644448937014,25.000000000002117,01_Plywood/Individual_DXF/5.000mm/A48.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A53,Inner aileron end plate,2,2.99999999999732,85.86541854849523,16.726126485348654,01_Plywood/Individual_DXF/3.000mm/A53.dxf,Retain the edge-finishing operation shown by the assembly/reference contour; preserve bores and slots.
A54,Central forward former,1,5.000000000000085,95.64444913700414,87.8966802832247,01_Plywood/Individual_DXF/5.000mm/A54.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A62F,Front nose spine segment,1,5,133.22045170180002,41.71392353041512,01_Plywood/Individual_DXF/5.000mm/A62F.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
A62R,Rear spine segment,1,5,874.1000002056101,41.71392373163832,01_Plywood/Individual_DXF/5.000mm/A62R.dxf,Rear end is flush with the motor mounting face at Y582.65; omit the former aft tab. Nose shaft gap is 4.4 mm with A62F.
A63,Nose cheek doublers (A63/A64),2,2.5,72.0,10.700000000000003,01_Plywood/Individual_DXF/2.500mm/A63.dxf,Cut two from this profile; install as A63 left cheek and A64 right cheek. Do not cut an additional pair.
G03,Main gear mounting doubler,1,3,70.0,22.0,01_Plywood/Individual_DXF/3.000mm/G03.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
H05B,Control horn backing plate,4,2.5,25.0,20.0,01_Plywood/Individual_DXF/2.500mm/H05B.dxf,Four 25 x20 mm backing blanks. Drill to the purchased horn template after checking the hinge axis; use crush-resistant spacers through foam or hollow printed controls.
I01,Adjustable battery tray,1,3,250.0,70.0,01_Plywood/Individual_DXF/3.000mm/I01.dxf,Cut the listed quantity at 100% scale. Qualify stock/kerf with a coupon.
